DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	9q34.3	9	137357006		EXD3			ENSG00000187609			rs73581580-A	rs73581580	0	73581580	intron_variant	0	0.12	4E-11	10.397940008672037				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	6q25.1	6	151880872		ESR1			ENSG00000091831			rs3757323-T	rs3757323	0	3757323	intron_variant	0	0.44	5E-10	9.301029995663981				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	10q25.1	10	105612634		RNU6-463P - PPIAP38	ENSG00000207068	ENSG00000233477		77869	72749	rs7098086-A	rs7098086	0	7098086	intergenic_variant	1	0.19	8E-10	9.096910013008056				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	6p22.1	6	27298161		POM121L2			ENSG00000158553			rs13211166-A	rs13211166	0	13211166	intron_variant	0	0.18	2E-9	8.698970004336019				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	7p22.3	7	2040479		MAD1L1			ENSG00000002822			rs11763750-A	rs11763750	0	11763750	intron_variant	0	0.17	6E-9	8.221848749616356				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	14q32.32	14	102926397		AMN			ENSG00000166126			rs1190230-C	rs1190230	0	1190230	intron_variant	0	0.26	1E-8	8.0				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	11p14.1	11	28570040		METTL15 - LINC02758	ENSG00000169519	ENSG00000248990		42999	109143	rs7127383-C	rs7127383	0	7127383	intergenic_variant	1	0.48	1E-8	8.0				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	11q23.2	11	113522272		DRD2 - TMPRSS5	ENSG00000149295	ENSG00000166682		46581	165275	rs2514218-T	rs2514218	0	2514218	intergenic_variant	1	0.3	2E-8	7.698970004336019				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	6p22.1	6	28721895		LINC00533 - RPSAP2	ENSG00000235570	ENSG00000237425		72829	10122	rs9468413-C	rs9468413	0	9468413	intergenic_variant	1	0.21	2E-8	7.698970004336019				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	1p33	1	46603832		MKNK1			ENSG00000079277			rs75421528-A	rs75421528	0	75421528	intron_variant	0	0.01	2E-8	7.698970004336019				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
